AuthorID,Author,Date_original,Date,Content,Attachments,Reactions,
6.65E+17,Zky#1153,2020/8/18 下午12:59,2020/8/18,You need to stake your pool token on curve.fi,,,
6.65E+17,Zky#1153,2020/8/18 下午1:00,2020/8/18,#general,,,
2.70E+17,amplice,2020/8/18 下午2:00,2020/8/18,Is there any idea what is likely to generate more interest among traders - gold swaps or eth or EUR,,,
2.70E+17,amplice,2020/8/18 下午2:01,2020/8/18,Or even something like (not sure this is feasible but) eth gas token trades which aren't pegged but will  always trade within some range as they have a relationship,,👍 (1),
6.28E+17,Magnus#7916,2020/8/18 下午2:09,2020/8/18,"> Is there any idea what is likely to generate more interest among traders - gold swaps or eth or EUR
@amplice My own layman guess would be - short term eth would be more interesting, long term gold and eur. I don't think there are any eur stable coins with any volume yet, or any yield opportunities with gold.",,,
6.28E+17,Magnus#7916,2020/8/18 下午2:20,2020/8/18,It would also be interesting to explore the possibility to be an aggregator of stablecoin cross-chain services. Want to swap ethereum USDC for binance busd? Come to Curve.,,,
2.70E+17,amplice,2020/8/18 下午2:36,2020/8/18,"or would it be possible to do, say, EURUSD with less overall transaction costs (in large volumes)",,,
2.70E+17,amplice,2020/8/18 下午2:37,2020/8/18,"that could be ""killer app"" to get big financial instituions on board. not sure if that's possible but yea",,,
2.70E+17,amplice,2020/8/18 下午2:37,2020/8/18,"e.g if curve could become a genuine replacement for FX trades, not just crypto stuff that would be rad",,,
2.70E+17,amplice,2020/8/18 下午2:37,2020/8/18,cuz i know my bank fucks me every single time i want to do any kind of FX transaction,,,
6.28E+17,Magnus#7916,2020/8/18 下午2:38,2020/8/18,currently curve only supports swapping between tokens of (relatively) equal value.,,,
6.59E+17,Two Cell#4739,2020/8/18 下午2:38,2020/8/18,"Can any one comment definitively on relative costs to claim - i currently have assets in renbtc and y and am thinking about adding some to susd but it is my understanding that the more pools you are in the more gas costs to claim so when i deposit more, i might also just switch from y to susd since it doesn't look like yfi rewards will be resuming.  I'm looking for something like - basic claim takes this many gwei, susd adds this much, sbtc adds this much, renbtc adds this much, y pool adds this much, etc. for every pool.",,,
4.44E+17,Tempted#7845,2020/8/18 下午2:40,2020/8/18,Is there any point in staking into the curve dao yet?,,,
2.70E+17,amplice,2020/8/18 下午2:40,2020/8/18,"> currently curve only supports swapping between tokens of (relatively) equal value.
@Magnus i know, but the reason why is because liquidity providing is super risky for anything that's crypto because of very rapid price movements. Curve is the low risk LP choice because uniswap/balancer are very high risk for LPs

however with traditional (but crypto-wrapped) FX, there is already a stable market. no crazy price movements in minutes, the markets are relatively calm compared to crypto. so its a higher-risk-than-stablecoin but still much-lower-risk-than-crypto-LP middle ground",,,
2.70E+17,amplice,2020/8/18 下午2:42,2020/8/18,and gives regular folks the opportunity to perform market activities previously exclusively available to financial institutions (LP for FX) which is one of the main arguments for defi - i'm not sure that it would be viable because maybe transaction costs would be higher than cefi (take someone much smarter than me to do the math) but an interesting thought experiment,,,
2.66E+17,gunboats69,2020/8/18 下午3:01,2020/8/18,"There are some stablecoin that isn't on Curve right now like USDB and USDN, let's see if they're interested in getting on Curve",,,
1.85E+17,charliecurve,2020/8/18 下午3:02,2020/8/18,New stable coins could be interesting,,,
1.85E+17,charliecurve,2020/8/18 下午3:02,2020/8/18,It would need decent liquidity to be considered,,,
6.30E+17,chazzy17,2020/8/18 下午4:48,2020/8/18,"please ETH pool first
would that pool just be ETH/sETH?
not sure about the implications of mixing wrappers but perhaps cETH and aETH could be included",,,
1.85E+17,charliecurve,2020/8/18 下午5:08,2020/8/18,sETH would be nice,,,
3.42E+17,pleyuh#4183,2020/8/18 下午5:58,2020/8/18,"> aETH and cETH are not good candidates for an ETH pool.
> 
> aETH is always more expensive than ETH as it accurs interest per block and
> cETH is way way cheaper than ETH",,,
6.30E+17,chazzy17,2020/8/18 下午7:22,2020/8/18,fair enough,,,
6.30E+17,chazzy17,2020/8/18 下午7:24,2020/8/18,"it would be good to have a gold pool after ETH
PAXG has a 0.02% fee on transfer
does that cause issues for curve?",,,
3.37E+17,wizardofwhere#1646,2020/8/18 下午7:44,2020/8/18,HI is the crv token I see on binance an actual crv token or some scam lookalike,,,
5.08E+17,kendrickllama,2020/8/18 下午8:40,2020/8/18,^it's the actual CRV token,,,
5.57E+17,domob,2020/8/19 上午3:32,2020/8/19,"ETH/sETH would be very interesting indeed.  I've done that swap from time to time on Uniswap, so maybe a Curve pool would have been cheaper.  Also a gold pool sounds very interesting - would love to LP for that one.  Not sure about the transfer and/or demurrage fees some of the gold tokens have, though.",,,
6.17E+17,raddygg,2020/8/19 上午9:20,2020/8/19,The PMGT token also exists as UPXAU -- there's pretty good transparency on minting,,,
6.17E+17,raddygg,2020/8/19 上午9:21,2020/8/19,Gold pool would be neat,,,
1.85E+17,charliecurve,2020/8/19 上午9:37,2020/8/19,I plan to make a proposal,,👍 (2),
1.85E+17,charliecurve,2020/8/19 上午9:38,2020/8/19,"If anyone has contacts from any gold token owners. People might want to be interested in putting up incentives, please send them our way",,,
2.33E+17,ronchiporc,2020/8/19 上午9:54,2020/8/19,"maybe the Synthethix platforms would be interested too, like for the BTC pool, as it could promote sXAU as well. 
I seem to recall they tried a Balancer pool or something a while ago.",,,
1.85E+17,charliecurve,2020/8/19 上午9:59,2020/8/19,Could be yes,,,
5.02E+17,zburninator#0080,2020/8/19 上午10:00,2020/8/19,"Synthetix did have an incentivized sXAU pool just before the sBTC pool came online and it had excellent returns (50% sXAU/50% USDC on uniswap). I think a gold pool would be great, I do know mStable is looking to do the same thing with mXAU as their cumulative token. I would be quite interested in a silver swap pool as well.",,Curve (2),
1.85E+17,charliecurve,2020/8/19 上午10:28,2020/8/19,"> it would be good to have a gold pool after ETH
> PAXG has a 0.02% fee on transfer
> does that cause issues for curve?
@chazzy17 Yes could be problematic",,,
2.66E+17,gunboats69,2020/8/19 上午11:40,2020/8/19,"Curve support USDT transfer fee, but surely it is pain in the ass for trader",,,
6.28E+17,Magnus#7916,2020/8/19 上午11:58,2020/8/19,https://gov.yearn.finance/t/yip-38-distribute-keep-balancer-rewards/2436 We could steal this idea..,,,
2.70E+17,amplice,2020/8/19 下午12:29,2020/8/19,Are there likely to be any governance votes before the 28th?,,,
2.70E+17,amplice,2020/8/19 下午12:30,2020/8/19,I'd like to participate even if it means locking early because it's good experience,,,
2.55E+17,vany365,2020/8/19 下午12:42,2020/8/19,No. It doesn’t start till the 28th,,,
6.17E+17,raddygg,2020/8/19 下午1:16,2020/8/19,@Charlie I think UPXAU will incentivize somehow; I can ask them,,,
1.85E+17,charliecurve,2020/8/19 下午1:48,2020/8/19,"@raddy Would be great, please do",,,
6.28E+17,Magnus#7916,2020/8/19 下午1:57,2020/8/19,"So, who's the backer of the new feature to be able to vote on the gauge weights? It's obviously not the DAO. I feel like we're getting steamrolled a bit here, and it certainly doesn't feel very decentralized. I'm not against the feature per se, I only wish it was part of the launch, or proposed as a CIP and voted on.",,,
1.85E+17,charliecurve,2020/8/19 下午1:59,2020/8/19,It's one of the base feature of the DAO so it's not something that needs to be voted on.,,,
1.85E+17,charliecurve,2020/8/19 下午1:59,2020/8/19,ie voters are able to change gauge weight,,,
6.28E+17,Magnus#7916,2020/8/19 下午2:00,2020/8/19,"Will there be more ""base features"" added?",,,
6.74E+17,deepcryptodive,2020/8/19 下午2:00,2020/8/19,"The voting only goes live the 28th, right?",,,
6.74E+17,deepcryptodive,2020/8/19 下午2:00,2020/8/19,Also for the Gauge weight,,,
1.85E+17,charliecurve,2020/8/19 下午2:22,2020/8/19,"We are finishing things up, discourse forum and DAO UI will be be available in the coming days",,,
4.72E+17,axadep#6149,2020/8/19 下午2:26,2020/8/19,"> So, who's the backer of the new feature to be able to vote on the gauge weights? It's obviously not the DAO. I feel like we're getting steamrolled a bit here, and it certainly doesn't feel very decentralized. I'm not against the feature per se, I only wish it was part of the launch, or proposed as a CIP and voted on.
@Magnus The feature is part of the contracts since they were deployed. It is fully decentralized as every CRV holder can lock and vote for weights with veCRV",,,
4.72E+17,axadep#6149,2020/8/19 下午2:26,2020/8/19,This is not a new feature and has been in the DAO contracts,,,
6.28E+17,Magnus#7916,2020/8/19 下午2:33,2020/8/19,Thanks for the clarification @axadep. As feedback it would have been nice if this had been communicated as a coming feature for us who are too lazy or incompetent to read the contracts. It's potentially a huge incentive for e.g. the bitcoiners to start locking up tokens lest the stablecoiners take their lunch away.,,,
6.28E+17,Magnus#7916,2020/8/19 下午2:34,2020/8/19,Where can I see the cast votes btw?,,,
4.72E+17,axadep#6149,2020/8/19 下午2:37,2020/8/19,For gauges?,,,
4.72E+17,axadep#6149,2020/8/19 下午2:37,2020/8/19,That's a good idea to add!,,,
4.72E+17,axadep#6149,2020/8/19 下午2:37,2020/8/19,Will do,,,
6.28E+17,Magnus#7916,2020/8/19 下午2:37,2020/8/19,"Yeah, the votes for the weights.",,,
6.28E+17,Magnus#7916,2020/8/19 下午2:40,2020/8/19,tbh I haven't at all grokked the pool weight voting. Is there a place I can read more about it?,,,
6.28E+17,Magnus#7916,2020/8/19 下午2:42,2020/8/19,"""# Cannot change weight votes more often than once in 10 days"", things like this would be good to know e.g.",,,
6.28E+17,Magnus#7916,2020/8/19 下午3:09,2020/8/19,"I can't believe I'm the only one with questions about gauge weight voting. Did I miss a discussion somewhere? Where are the rest of you with skin in the game? Comfortably strapped in in your rockets, hoping for a smooth journey to the moon? Get to work, we have a DAO to run.",,,
7.25E+17,cnschroter#9701,2020/8/19 下午4:01,2020/8/19,"The mechanism for the 2.5 boost is a bit strange. It incentives to go to the biggest Pool... Most probably, many investors, will leave the other pools to go to the biggest to obtain a higher earning weight.",,,
7.25E+17,cnschroter#9701,2020/8/19 下午4:02,2020/8/19,"The thing is, with the same investment, you get a higher earning weight being in the most liquid pool...",,,
7.25E+17,cnschroter#9701,2020/8/19 下午4:05,2020/8/19,Could someone confirm it ?,,,
7.25E+17,cnschroter#9701,2020/8/19 下午4:30,2020/8/19,Is it possible to check the actual amount vesting power ?,,,
1.85E+17,charliecurve,2020/8/19 下午4:31,2020/8/19,On the locker page,,,
1.85E+17,charliecurve,2020/8/19 下午4:33,2020/8/19,47000 veCRV right now,,,
1.85E+17,charliecurve,2020/8/19 下午4:34,2020/8/19,Nearly a million CRV locked,,,
1.85E+17,charliecurve,2020/8/19 下午4:35,2020/8/19,"> The thing is, with the same investment, you get a higher earning weight being in the most liquid pool...
@cnschroter Pool weights can be changed by votes now",,,
1.85E+17,charliecurve,2020/8/19 下午5:01,2020/8/19,@Magnus We will have more information regarding the DAO,,,
1.85E+17,charliecurve,2020/8/19 下午5:01,2020/8/19,very soon,,👍 (1),
1.85E+17,charliecurve,2020/8/19 下午5:01,2020/8/19,We're just finishing things up still but nearly there,,,
3.22E+17,thegames01,2020/8/19 下午5:35,2020/8/19,"Is there a ""blog"" to collect all the posts?",,,
2.70E+17,amplice,2020/8/19 下午10:23,2020/8/19,"> So, who's the backer of the new feature to be able to vote on the gauge weights? It's obviously not the DAO. I feel like we're getting steamrolled a bit here, and it certainly doesn't feel very decentralized. I'm not against the feature per se, I only wish it was part of the launch, or proposed as a CIP and voted on.
@Magnus 100% feel the same way. They deliberately did NOT share info about this (okok, its in the whitepaper, whatever, but they had CLEAR announcements about a bunch of other stuff but specifically NOT this until suddenly one pool's APY is up by almost 10x or whatever). You can call it decentralized but if you want broad participation then the average user can't be at a severe information asymmetry. 

100% feels like getting steamrolled. Appearance of wanting to be decentralized but actually just profit maximizing",,,
2.70E+17,amplice,2020/8/19 下午10:44,2020/8/19,why participate in DAO at all if its a rigged game,,,
4.61E+17,eyal9454,2020/8/20 上午1:37,2020/8/20,"Hey, is the DAO on Aragon already? @Charlie",,,
5.08E+17,kendrickllama,2020/8/20 上午1:38,2020/8/20,@Eyal lemme check with our devs,,👍 (1),
7.26E+17,megawhiz,2020/8/20 上午5:48,2020/8/20,hello - has there been any adjustment in terms of CRV rewards for the sbtc tool today?,,,
5.08E+17,kendrickllama,2020/8/20 上午5:54,2020/8/20,"@megawhiz yep, check out the #announcements channel",,,
7.26E+17,megawhiz,2020/8/20 上午5:58,2020/8/20,Just checked it. So it looks like the voting is still in progress? Or has the adjustment been made already given the announcement came earlier today.,,,
7.26E+17,megawhiz,2020/8/20 上午5:58,2020/8/20,Do we know how much the rewards have been adjusted by for each pool?,,,
5.08E+17,kendrickllama,2020/8/20 上午6:01,2020/8/20,"@megawhiz adjustment has been made already (pool gauge weight will be changed every week). As for how much rewards have been adjusted, need to work on UI I think",,,
2.15E+17,sir_wen_moon,2020/8/20 上午6:16,2020/8/20,is dao.curve.fi down for others?,,,
1.85E+17,charliecurve,2020/8/20 上午6:39,2020/8/20,@sir_wen_moon its okay now,,,
2.33E+17,ronchiporc,2020/8/20 上午8:33,2020/8/20,I agree with @amplice and @Magnus as well.,,,
2.15E+17,sir_wen_moon,2020/8/20 上午8:33,2020/8/20,was it being dos'd by the compound pool voter?,,,
2.33E+17,ronchiporc,2020/8/20 上午8:35,2020/8/20,"The Yfi governance is a joke. Its a cartel ruled by a few whales. Unsurprised to see how they're just gonna vote to assign all the CRV rewards to their pool. 
So what's gonna happen then ? The YFI cartel will control more and more CRV and thus get effective control of this platform as well, voting to consolidate their control ?",,,
2.33E+17,ronchiporc,2020/8/20 上午8:39,2020/8/20,I was in contrast pleasantly surprised by how the CRV model didnt favor bubble speculation and had a strong inflation plan to deter the formation of such similar whale cartel by a few users who had just happened to be there for a few days at the right time...,,👍 (1),
2.33E+17,ronchiporc,2020/8/20 上午8:40,2020/8/20,"But if the weight of pool rewards can be modified in such ways, then what just happened inevitably happens and they can snowball into getting more and more control of this platform as well.",,,
2.15E+17,sir_wen_moon,2020/8/20 上午8:41,2020/8/20,dao.curve.fi still down for me,,,
2.33E+17,ronchiporc,2020/8/20 上午8:45,2020/8/20,@Magnus now i know what you meant yesterday with gauge weights 😄 i thought there was no votes or any kind yet.,,,
2.33E+17,ronchiporc,2020/8/20 上午8:47,2020/8/20,Am I the only one in here who actually dislike this YFI governance ?,,,
2.33E+17,ronchiporc,2020/8/20 上午8:52,2020/8/20,Gauge weights are eally bad imho. They undermine the anti-cartel property of CRV distribution that is the result of its high inflation.,,👍 (2),
2.55E+17,vany365,2020/8/20 上午9:00,2020/8/20,Yfi gov has been selling their earned crv and only had 600k from prelaunch so their stack is not as big as some,,,
2.15E+17,sir_wen_moon,2020/8/20 上午9:01,2020/8/20,is there a way to check my gauge / crv earnings without dao.curve.fi?,,,
2.33E+17,ronchiporc,2020/8/20 上午9:13,2020/8/20,"@vany until they dont. And being a centralized entity, their decision affects all the funds under their control at once.",,,
2.33E+17,ronchiporc,2020/8/20 上午9:15,2020/8/20,"and i beleive i saw something recently precisely about that, an ongoing ""vote"" to stop dumping the CRV tokens and to start bulding up voting power on CRV.",,,
2.33E+17,ronchiporc,2020/8/20 上午9:16,2020/8/20,yep there it is litterally : https://gov.yearn.finance/t/yip-37-participate-in-crv-governance-and-2-5x-crv-reward-boost/2611,,,
2.55E+17,vany365,2020/8/20 上午9:18,2020/8/20,Summary Use early LP rewards,,,
2.55E+17,vany365,2020/8/20 上午9:18,2020/8/20,"it says on screen its about early LP, not currently generating @Ronchiporc",,,
1.85E+17,charliecurve,2020/8/20 上午9:18,2020/8/20,The governance forum is coming soon,,,
1.85E+17,charliecurve,2020/8/20 上午9:18,2020/8/20,And we can all have shit fights over there,,,
1.85E+17,charliecurve,2020/8/20 上午9:18,2020/8/20,where it can be organised shit fights,,,
2.33E+17,ronchiporc,2020/8/20 上午9:18,2020/8/20,"which is a huge amount, especially when its the whole pool.",,,
2.55E+17,vany365,2020/8/20 上午9:19,2020/8/20,"their early LP is only like 600k and thats released over the whole year, considering there is over13 million available, you are making it sound bigger than it is",,,
2.55E+17,vany365,2020/8/20 上午9:20,2020/8/20,they only have around 15k available at this point to lock and vote,,,
2.33E+17,ronchiporc,2020/8/20 上午9:21,2020/8/20,"And yet, strangely, the first gauge rebalance results in their pool draining a huge share of the CRV supply.",,,
2.55E+17,vany365,2020/8/20 上午9:21,2020/8/20,"no, that was compound pool",,,
2.55E+17,vany365,2020/8/20 上午9:22,2020/8/20,what are you even talking about,,,
1.85E+17,charliecurve,2020/8/20 上午9:23,2020/8/20,"If you don't want YFI to have control:
- Don't use yVaults
- Lockvote",,👍 (2),
2.33E+17,ronchiporc,2020/8/20 上午9:24,2020/8/20,"If you dont see the danger of a system where you vote to determine the shares of future voting power, and where a single central entity holds a significant edge on that from the start, i can't say much more. I just think you're being naive.",,👍 (1),
2.55E+17,vany365,2020/8/20 上午9:25,2020/8/20,"ill say it again, they only have 15-20k of all released crv because they have been selling the new ones,  there are 12 million in circulation",,,
2.55E+17,vany365,2020/8/20 上午9:25,2020/8/20,"also yearn is a large group of farmers working together, its not some big bad corporation lmao",,,
2.55E+17,vany365,2020/8/20 上午9:25,2020/8/20,nothing is stopping you from creating a group and voting together,,,
3.84E+17,willr123,2020/8/20 上午9:26,2020/8/20,Generally YFI and Curve interests are closet aligned. Each is good for the other,,,
3.84E+17,willr123,2020/8/20 上午9:26,2020/8/20,Closely,,,
2.33E+17,ronchiporc,2020/8/20 上午9:26,2020/8/20,"@Charlie Indeed. Except you'd be already fighting a battle uphill from the start, considering the fact that a single entity has the advantage of all the pre-allocated CRV. ANd that everyone else will be split and divided with different opinions as this simple discussion here can show.",,,
2.33E+17,ronchiporc,2020/8/20 上午9:27,2020/8/20,"so sure, i can always lock my tiny voting power to disagree. But i wouldnt bet on that side considering the situation.",,,
2.33E+17,ronchiporc,2020/8/20 上午9:28,2020/8/20,"@WillR123 They are not, not when votes can influence the repartition of the new CRV inflation. There is no reason they wouldnt vote to consolidate their share and the pool that benefits them.",,,
2.55E+17,vany365,2020/8/20 上午9:29,2020/8/20,Are you going to vote for the pool your money is in?,,,
2.33E+17,ronchiporc,2020/8/20 上午9:30,2020/8/20,I disagree with the concept of votes determining the reward shares.,,👍 (1),
2.33E+17,ronchiporc,2020/8/20 上午9:30,2020/8/20,Because that just leads to corruption in my opinion.,,,
2.55E+17,vany365,2020/8/20 上午9:30,2020/8/20,"So your problem shouldn’t be with yearn, it’s with the system that determines weight",,,
2.55E+17,vany365,2020/8/20 上午9:31,2020/8/20,"FYI, there are multiple whales that 10-20x more crv than yearn.",,,
2.33E+17,ronchiporc,2020/8/20 上午9:36,2020/8/20,"Well like i stated before: for me strong inflation for a governance token was a good decision to deter cartels. 
But this decision to make reward shares vote based cancel that benefit, because the current votes then determine that share of future rewards. Thus it can still allow the formation of a cartel that will keep voting to ensure it remains in control.",,👍 (1),
7.31E+17,0xpigeon,2020/8/20 上午9:36,2020/8/20,"well, as with everything humanity does, power and assets always concentrate",,,
2.33E+17,ronchiporc,2020/8/20 上午9:36,2020/8/20,"And when you combine it to having a pool specifically controlled by one entity , its the perfect combinaison to lead to that.",,,
2.33E+17,ronchiporc,2020/8/20 上午9:36,2020/8/20,Well if everyone is fine with it so be it 😄,,,
2.33E+17,ronchiporc,2020/8/20 上午9:36,2020/8/20,just giving my opinion.,,,
2.33E+17,ronchiporc,2020/8/20 上午10:01,2020/8/20,"And by the way, allow me to question the hypocrisy of the counter arguments given here in response to my points, given by people who are strangely all also from the yEarn discord, and even rejoicing about the flaw of this voting system i'm pointing out and how it will benefit Yearn.
https://i.gyazo.com/69f8f103946e3bae637321123a741064.png",,👍 (2),
2.33E+17,ronchiporc,2020/8/20 上午10:01,2020/8/20,🙄,,,
2.55E+17,vany365,2020/8/20 上午10:07,2020/8/20,Lol,,,
2.55E+17,vany365,2020/8/20 上午10:19,2020/8/20,Way to pick my initial reaction about 30 minutes after it was released. you will also find I was upset and vocalized that to Kendrick with different aspects for gauge voting for weight and not being voted in the DAO. I don’t have to explain myself to you but I have 2x as much money in sbtc pool vs y pool so if what you believe is true then this system would hurt me more than help,,,
2.55E+17,vany365,2020/8/20 上午10:28,2020/8/20,,https://cdn.discordapp.com/attachments/745257323487953036/746012764375482499/image0.png,,
5.42E+17,Nub#3298,2020/8/20 上午10:34,2020/8/20,"> And by the way, allow me to question the hypocrisy of the counter arguments given here in response to my points, given by people who are strangely all also from the yEarn discord, and even rejoicing about the flaw of this voting system i'm pointing out and how it will benefit Yearn.
> https://i.gyazo.com/69f8f103946e3bae637321123a741064.png
@Ronchiporc I'm not sure there is much to worry about. There is a chance that YFI holders may end up with a significant portion of governance over the CRV platform but that's not necessarily a bad thing. YFI holders are some of the bigger brains in the space, and if they want the CRV platform to flourish they will need to do whats right for the platform and all participants. I have seen on several occasions the YFI holders forgo short term gains for the longterm benefit of the yearn ecosystem. If the CRV platform becomes a part of that ecosystem it will benefit from those same decisions. My recommendation is to go buy some YFI and be a part of the governance process there.",,,
5.42E+17,Nub#3298,2020/8/20 上午10:52,2020/8/20,@Charlie It's really clever how the CRV team created this gauge weight mechanism to create buy pressure for CRV. I just wish it wasn't available for 7 more days. I was going to purchase CRV when its fully diluted market cap dropped into the 9 figure range. I'm afraid with the governance war that's not going to happen.,,,
1.85E+17,charliecurve,2020/8/20 上午10:55,2020/8/20,"Well CRV has only been out for a week, I'm as curious as you are to find out what DAO and vote locking boost do to the price",,,
